#HeroicDeathPlus Data Log - This file stores serialized data on player deaths in the following order:
#HeroicDeathPlus ??? - ???? ???? ???????? ?????? ? ??????? ? ????? ???????:
#Victim|Killer|Murder Weapon|Cause of Death|Location|Timestamp|Death Message
#??????|??????|?????? ????????|??????? ??????|??????????????|?????|????????? ? ??????
#Murder weapon is in the format TypeIDxData, so Red Wool would be 35x14
#Location is in the format (x, y, z), and represents where the victim died.
iBest|||FALL|Magellan (-92.0,73.0,315.0)|06/06/2013 21:23:28 CEST|iBest fell to their death
iBest|||FALL|Spawn (-468.0,24.0,151.0)|06/06/2013 21:25:01 CEST|iBest fell to their death
tete360|crafter200|276x11|ENTITY_ATTACK|Faction (878.0,17.0,567.0)|06/06/2013 21:34:10 CEST|crafter200 killed tete360 wielding diamond sword
iBest|||LAVA|Arene (671.0,35.0,-17.0)|06/06/2013 21:36:19 CEST|iBest was killed by lava
Fushiin|||FALL|Magellan (-40.0,65.0,852.0)|06/06/2013 21:59:19 CEST|Fushiin fell to their death
Fushiin|Creeper||ENTITY_ATTACK|Magellan (-81.0,68.0,825.0)|06/06/2013 22:35:32 CEST|Fushiin was creeper bombed
Fushiin|||FALL|Magellan (-65.0,14.0,813.0)|06/06/2013 22:54:10 CEST|Fushiin fell to their death
mrstreetcreed|||DROWNING|Spawn (-502.0,22.0,236.0)|06/06/2013 23:42:50 CEST|mrstreetcreed drowned
mrstreetcreed|||FALL|Magellan (33.0,20.0,296.0)|06/07/2013 00:04:20 CEST|mrstreetcreed fell to their death
NicoTCS|||FIRE|Arene (690.0,35.0,-6.0)|06/07/2013 07:18:35 CEST|NicoTCS burned to death
NicoTCS|||LAVA|Arene (698.0,39.0,-62.0)|06/07/2013 07:19:38 CEST|NicoTCS took a bath in a lake of fire
NicoTCS|Zombie||ENTITY_ATTACK|Arene (688.0,80.0,-63.0)|06/07/2013 07:24:56 CEST|NicoTCS was killed by an angry Zombie
Pixelboum|||LAVA|Arene (690.0,38.0,-60.0)|06/07/2013 07:26:23 CEST|Pixelboum was killed by lava
thomas1317|||LAVA|Arene (702.0,36.0,-51.0)|06/07/2013 08:29:23 CEST|thomas1317 became obsidian
thomas1317|||LAVA|Arene (688.0,34.0,-49.0)|06/07/2013 08:30:56 CEST|thomas1317 was killed by lava
thomas1317|||LAVA|Arene (658.0,38.0,-41.0)|06/07/2013 08:32:25 CEST|thomas1317 was killed by lava
crafter200|||FALL|Faction (816.0,28.0,705.0)|06/07/2013 08:32:45 CEST|crafter200 fell to their death
thomas1317|Crenor92|272x76|ENTITY_ATTACK|Arene (682.0,79.0,-32.0)|06/07/2013 08:32:51 CEST|Crenor92 killed thomas1317 wielding stone sword
thomas1317|||FIRE|Arene (701.0,36.0,-20.0)|06/07/2013 08:33:43 CEST|thomas1317 forgot how to stop, drop and roll
scorpio|||FALL|Magellan (-122.0,72.0,562.0)|06/07/2013 09:19:01 CEST|scorpio took a leap of faith
Fushiin|Creeper||ENTITY_ATTACK|Magellan (-36.0,64.0,835.0)|06/07/2013 12:18:48 CEST|Fushiin hugged a creeper
ziboul50|||FALL|Magellan (463.0,73.0,210.0)|06/07/2013 12:59:49 CEST|ziboul50 took a leap of faith
guilhyan12|||LAVA|Magellan (-113.0,67.0,-288.0)|06/07/2013 13:15:21 CEST|guilhyan12 was killed by lava
R98|||FIRE_TICK|IWorld (-221.0,11.0,279.0)|06/07/2013 17:17:07 CEST|R98 forgot how to stop, drop and roll
thomas1317|||FALL|Arene (673.0,43.0,-57.0)|06/07/2013 17:18:52 CEST|thomas1317 took a leap of faith
lebaboune1|||FALL|Spawn (-458.0,29.0,285.0)|06/07/2013 17:19:26 CEST|lebaboune1 took a leap of faith
loulou79|||FALL|Magellan (-52.0,68.0,54.0)|06/07/2013 17:19:49 CEST|loulou79 took a leap of faith
thomas1317|||LAVA|Arene (692.0,36.0,-31.0)|06/07/2013 17:20:44 CEST|thomas1317 was killed by lava
Nico|Creeper||ENTITY_ATTACK|Magellan (-504.0,63.0,712.0)|06/07/2013 17:22:45 CEST|Nico was creeper bombed
loulou79|||FIRE_TICK|Magellan (-72.0,65.0,-69.0)|06/07/2013 17:24:15 CEST|loulou79 burned to death
BANANE_K1LLER|||LAVA|Arene (662.0,39.0,-12.0)|06/07/2013 17:33:18 CEST|BANANE_K1LLER was killed by lava
Craytone|||LAVA|Arene (668.0,34.0,-37.0)|06/07/2013 17:34:03 CEST|Craytone took a bath in a lake of fire
Craytone|||FALL|Arene (709.0,55.0,11.0)|06/07/2013 17:34:59 CEST|Craytone took a leap of faith
loulou79|Skeleton||PROJECTILE|Magellan (-113.0,71.0,-321.0)|06/07/2013 17:38:12 CEST|loulou79 was killed by an angry Skeleton
loulou79|Zombie||ENTITY_ATTACK|Magellan (-117.0,71.0,-306.0)|06/07/2013 17:41:08 CEST|loulou79 was killed by an angry Zombie
BANANE_K1LLER|Skeleton||PROJECTILE|Magellan (-167.0,69.0,148.0)|06/07/2013 17:41:46 CEST|BANANE_K1LLER was killed by an angry Skeleton
